Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99423825/salvage-2012-chevrolet-impala-lt-oh-akron,99423825,"3,046 USD",05/05/2026 03:00 pm GMT+1,2012,CHEV,IMPALA,3.6L  6,6,2G1WG5E33C1******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,REAR END,90 USD,0 USD,1117,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/97506805/clean-title-2018-hyundai-sonata-sport-oh-akron,97506805,0 USD,05/05/2026 03:00 pm GMT+1,2018,HYUN,SONATA,2.4L  4,4,5NPE34AF4JH******,CERT OF TITLE-REPOSSESSION,"129,906 N",NOT ACTUAL,MECHANICAL,0 USD,0 USD,1148,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/94381855/clean-title-2018-hyundai-elantra-sel-oh-akron,94381855,0 USD,05/05/2026 03:00 pm GMT+1,2018,HYUN,ELANTRA,2.0L  4,4,5NPD84LF5JH******,CERTIFICATE OF TITLE,"81,971 A",ACTUAL,MECHANICAL,0 USD,0 USD,1111,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/92744605/clean-title-2022-kia-sportage-s-oh-akron,92744605,0 USD,05/05/2026 03:00 pm GMT+1,2022,KIA,SPORTAGE,2.4L  4,4,KNDP6CAC0N7******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,1149,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/90997595/clean-title-2017-nissan-altima-3-5sl-oh-akron,90997595,0 USD,05/05/2026 03:00 pm GMT+1,2017,NISS,ALTIMA,3.5L  6,6,1N4BL3AP5HC******,CERTIFICATE OF TITLE,"122,003 N",NOT ACTUAL,MECHANICAL,0 USD,0 USD,1130,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79767075/clean-title-2019-chrysler-pacifica-touring-l-oh-akron,79767075,0 USD,05/05/2026 03:00 pm GMT+1,2019,CHRY,PACIFICA,3.6L 6,6,2C4RC1BG2KR******,CERT OF TITLE-REPOSSESSION,"176,769 A",ACTUAL,STRIPPED,0 USD,0 USD,1116,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79750655/salvage-2017-chrysler-pacifica-touring-oh-akron,79750655,"7,187 USD",05/05/2026 03:00 pm GMT+1,2017,CHRY,PACIFICA,3.6L 6,6,2C4RC1DG6HR******,CERT OF TITLE-SALVAGE,"137,252 A",ACTUAL,FRONT END,90 USD,0 USD,36,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79043395/clean-title-2003-toyota-tacoma-prerunner-oh-akron,79043395,0 USD,05/05/2026 03:00 pm GMT+1,2003,TOYT,TACOMA,2.7L 4,4,5TESM92N83Z******,CERTIFICATE OF TITLE,"316,267 A",ACTUAL,FRONT END,90 USD,0 USD,1135,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78421575/clean-title-2017-land-rover-discovery-sport-se-oh-akron,78421575,0 USD,05/05/2026 03:00 pm GMT+1,2017,LAND,DISCOVERY SPORT,2.0L  4,4,SALCP2BGXHH******,CERTIFICATE OF TITLE,"177,909 A",ACTUAL,FRONT END,0 USD,0 USD,1146,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78238585/clean-title-2017-mercedes-benz-c-300-4matic-oh-akron,78238585,"11,200 USD",05/05/2026 03:00 pm GMT+1,2017,MERZ,C,2.0L  4,4,55SWF4KB7HU******,CERTIFICATE OF TITLE,"138,441 N",NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,51,OH - AKRON,0,N/A,N/A
