Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99901915/clean-title-2012-mazda-cx-9-ct-hartford,99901915,0 USD,04/21/2026 03:00 pm GMT+1,2012,MAZD,CX-9,3.7L  6,6,JM3TB3CV7C0******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,450 USD,0 USD,2072,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/99835775/salvage-2023-honda-civic-sport-ct-hartford,99835775,"24,062 USD",04/21/2026 03:00 pm GMT+1,2023,HOND,CIVIC,2.0L 4,4,2HGFE2F51PH******,CERT OF TITLE-SALVAGE,"33,340 A",ACTUAL,ROLLOVER,475 USD,0 USD,97,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/99714115/salvage-2013-nissan-rogue-s-ct-hartford,99714115,"7,923 USD",04/21/2026 03:00 pm GMT+1,2013,NISS,ROGUE,2.5L 4,4,JN8AS5MV9DW******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,450 USD,0 USD,2082,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/99570635/salvage-2019-toyota-highlander-hybrid-limited-platinum-ct-hartford,99570635,"30,798 USD",04/21/2026 03:00 pm GMT+1,2019,TOYT,HIGHLANDER HYBRID,3.5L 6,6,5TDDGRFH5KS******,CERT OF TITLE-SALVAGE,"76,376 A",ACTUAL,FRONT END,"1,100 USD",0 USD,2002,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/99347365/2018-ford-edge-sel-ct-hartford,99347365,"10,549 USD",04/21/2026 03:00 pm GMT+1,2018,FORD,EDGE,3.5L  6,6,2FMPK4J80JB******,MV907A-PARTS ONLY,"190,460 A",ACTUAL,SIDE,450 USD,0 USD,2311,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/99262905/salvage-2016-infinity-q50-ct-hartford,99262905,0 USD,04/21/2026 03:00 pm GMT+1,2016,INFI,Q50,3.0L  6,6,JN1EV7AR4GM******,CERTIFICATE OF SALVAGE,"75,963 N",NOT ACTUAL,FRONT END,475 USD,0 USD,2041,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/98899825/salvage-2008-gmc-sierra-k1500-ct-hartford,98899825,"4,932 USD",04/21/2026 03:00 pm GMT+1,2008,GMC,SIERRA,5.3L 8,8,2GTEK19JX81******,CERT OF TITLE-SALVAGE,"213,832 A",ACTUAL,FRONT END,450 USD,0 USD,2321,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/98854495/2006-honda-pilot-ex-ct-hartford,98854495,"4,966 USD",04/21/2026 03:00 pm GMT+1,2006,HOND,PILOT,3.5L  6,6,5FNYF28466B******,PARTS ONLY,"145,824 A",ACTUAL,FRONT END,450 USD,0 USD,110,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/98682795/salvage-2018-ford-focus-s-ct-hartford,98682795,"8,601 USD",04/21/2026 03:00 pm GMT+1,2018,FORD,FOCUS,2.0L  4,4,1FADP3E27JL******,CERT OF TITLE-SALVAGE,"100,698 A",ACTUAL,REAR END,450 USD,0 USD,2309,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/98660165/salvage-2010-jeep-liberty-sport-ct-hartford,98660165,"5,226 USD",04/21/2026 03:00 pm GMT+1,2010,JEP,LIBERTY,3.7L  6,6,1J4PN2GK9AW******,MV-907A SALVAGE CERTIFICATE,"150,734 A",ACTUAL,REAR END,450 USD,0 USD,2285,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/98573485/clean-title-2024-zhejiang-other-ct-hartford,98573485,"1,212 USD",04/21/2026 03:00 pm GMT+1,2024,OTHE,OTHER,,,LLPVGBAA8R1******,BILL OF SALE,"2,757 A",ACTUAL,FRONT END,10 USD,0 USD,601,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/98362885/salvage-2015-jeep-grand-cherokee-limited-ct-hartford,98362885,"9,024 USD",04/21/2026 03:00 pm GMT+1,2015,JEP,GRAND CHEROKEE,3.6L 6,6,1C4RJFBG3FC******,CERT OF TITLE-SALVAGE,"150,406 A",ACTUAL,ROLLOVER,475 USD,0 USD,2078,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/97970165/salvage-2011-ford-f150-super-cab-ct-hartford,97970165,"8,783 USD",04/21/2026 03:00 pm GMT+1,2011,FORD,F150,3.5L  6,6,1FTFX1ET9BF******,CERT OF TITLE-SALVAGE,"173,661 A",ACTUAL,FRONT END,475 USD,0 USD,116,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/97889165/clean-title-2015-jeep-cherokee-limited-ct-hartford,97889165,0 USD,04/21/2026 03:00 pm GMT+1,2015,JEP,CHEROKEE,2.4L  4,4,1C4PJMDB9FW******,CERTIFICATE OF TITLE,"205,254 A",ACTUAL,FRONT END,0 USD,0 USD,2080,CT - HARTFORD,0,N/A,N/A
